Question,modified_Question,Query,is_Question_added_to_cluster,is_Query_added_to_cluster,Query_clusters,Question_clusters,user_added_query
WHICH APPLICATION HAS MOST ACTIVITIES NAMED BY A HUMAN IN THE LOOP ?,WHICH NOUN# HAS MOST NOUN# NAMED BY A NOUN# IN THE NOUN# ? ,NOT_EVALUATED,no,no,,,no
WHICH HOUR OF THE DAY HAS THE HIGHEST EVENTS FOR THIS LES PERSONA,WHICH NOUN# OF THE DAY HAS THE NOUN# FOR THIS LES PERSONA ,"SELECT SUBSTRING(EVENT_TIME, 12, 2) AS HOUR, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY HOUR ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH HOUR OF THE DAY HAS THE HIGHEST EVENTS FOR THIS CES PERSONA,WHICH NOUN# OF THE DAY HAS THE NOUN# FOR THIS NOUN# ,"SELECT SUBSTRING(EVENT_TIME, 12, 2) AS HOUR, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY SUBSTRING(EVENT_TIME, 12, 2) ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH HOUR OF THE DAY HAS THE HIGHEST EVENTS FOR THIS TEST PERSONA,WHICH NOUN# OF THE DAY HAS THE NOUN# FOR THIS NOUN# ,"SELECT SUBSTRING(EVENT_TIME, 12, 2) AS HOUR, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND             EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY HOUR ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH HOUR OF THE DAY HAS THE LEAST EVENTS FOR THIS LES PERSONA,WHICH NOUN# OF THE DAY HAS THE LEAST NOUN# FOR THIS LES PERSONA ,"SELECT SUBSTRING(EVENT_TIME,12,2) AS HOUR, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY HOUR ORDER BY COUNT LIMIT 1",no,no,,,no
WHICH HOUR OF THE DAY HAS THE LEAST EVENTS FOR THIS CES PERSONA,WHICH NOUN# OF THE DAY HAS THE LEAST NOUN# FOR THIS NOUN# ,"SELECT SUBSTRING(EVENT_TIME, 12, 2) AS HOUR, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY HOUR ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH HOUR OF THE DAY HAS THE LEAST EVENTS FOR THIS TEST PERSONA,WHICH NOUN# OF THE DAY HAS THE LEAST NOUN# FOR THIS NOUN# ,"SELECT SUBSTRING(EVENT_TIME, 12, 2) AS HOUR, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' AND PERSONA_NAME = 'TEST' GROUP BY HOUR ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH DAY OF THE WEEK HAS THE HIGHEST EVENTS  FOR THIS LES PERSONA,WHICH NOUN# OF THE NOUN# HAS THE NOUN# FOR THIS LES PERSONA ,"SELECT DATE_FORMAT(EVENT_DATE, 'EEEE') AS DAY_OF_WEEK, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY DAY_OF_WEEK ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH DAY OF THE WEEK HAS THE HIGHEST EVENTS  FOR THIS CES PERSONA,WHICH NOUN# OF THE NOUN# HAS THE NOUN# FOR THIS NOUN# ,"SELECT DATE_FORMAT(EVENT_DATE, 'EEEE') AS DAY_OF_WEEK, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY DAY_OF_WEEK ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH DAY OF THE WEEK HAS THE HIGHEST EVENTS  FOR THIS TEST PERSONA,WHICH NOUN# OF THE NOUN# HAS THE NOUN# FOR THIS NOUN# ,"SELECT DATE_FORMAT(EVENT_DATE, 'EEEE') AS DAY_OF_WEEK, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY DAY_OF_WEEK ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH DAY OF THE WEEK HAS THE LEAST EVENTS  FOR THIS LES PERSONA,WHICH NOUN# OF THE NOUN# HAS THE LEAST NOUN# FOR THIS LES PERSONA ,"SELECT DATE_FORMAT(EVENT_DATE, 'EEEE') AS DAY_OF_WEEK, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY DAY_OF_WEEK ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH DAY OF THE WEEK HAS THE LEAST EVENTS  FOR THIS CES PERSONA,WHICH NOUN# OF THE NOUN# HAS THE LEAST NOUN# FOR THIS NOUN# ,"SELECT DATE_FORMAT(EVENT_DATE, 'EEEE') AS DAY_OF_WEEK, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY DAY_OF_WEEK ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHICH DAY OF THE WEEK HAS THE LEAST EVENTS  FOR THIS TEST PERSONA,WHICH NOUN# OF THE NOUN# HAS THE LEAST NOUN# FOR THIS NOUN# ,"SELECT DATE_FORMAT(EVENT_DATE, 'EEEE') AS DAY_OF_WEEK, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY DAY_OF_WEEK ORDER BY COUNT ASC LIMIT 1",no,no,,,no
WHAT IS THE AVERAGE NUMBERS OF EVENTS IN A DAY FOR THIS LES PERSONA,WHAT IS THE AVERAGE NOUN# OF NOUN# IN A NOUN# FOR THIS LES PERSONA ,SELECT COUNT(EVENT_ID)/COUNT(DISTINCT EVENT_DATE) AS AVG_EVENTS_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE NUMBERS OF EVENTS IN A DAY FOR THIS CES PERSONA,WHAT IS THE AVERAGE NOUN# OF NOUN# IN A NOUN# FOR THIS NOUN# ,SELECT COUNT(EVENT_ID)/COUNT(DISTINCT EVENT_DATE) AS AVG_EVENTS_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE NUMBERS OF EVENTS IN A DAY FOR THIS TEST PERSONA,WHAT IS THE AVERAGE NOUN# OF NOUN# IN A NOUN# FOR THIS NOUN# ,SELECT COUNT(EVENT_ID)/COUNT(DISTINCT EVENT_DATE) AS AVG_EVENTS_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE TOTAL TIME SPENT ON PROCESS APPLICATIONS FOR THIS LES PERSONA,WHAT IS THE TOTAL NOUN# SPENT ON NOUN# FOR THIS LES PERSONA ,SELECT SUM(ACTIVE_TIME) AS TOTAL_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE TOTAL TIME SPENT ON PROCESS APPLICATIONS FOR THIS CES PERSONA,WHAT IS THE TOTAL NOUN# SPENT ON NOUN# FOR THIS NOUN# ,SELECT SUM(ACTIVE_TIME) AS TOTAL_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE TOTAL TIME SPENT ON PROCESS APPLICATIONS FOR THIS TEST PERSONA,WHAT IS THE TOTAL NOUN# SPENT ON NOUN# FOR THIS NOUN# ,SELECT SUM(ACTIVE_TIME) AS TOTAL_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE TOTAL TIME SPENT ON NON PROCESS APPLICATIONS FOR THIS LES PERSONA,WHAT IS THE TOTAL NOUN# SPENT ON NON NOUN# FOR THIS LES PERSONA ,SELECT SUM(ACTIVE_TIME) AS TOTAL_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE = 0 AND PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE TOTAL TIME SPENT ON NON PROCESS APPLICATIONS FOR THIS CES PERSONA,WHAT IS THE TOTAL NOUN# SPENT ON NON NOUN# FOR THIS NOUN# ,SELECT SUM(ACTIVE_TIME) AS TOTAL_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE = 0 AND PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE TOTAL TIME SPENT ON NON PROCESS APPLICATIONS FOR THIS TEST PERSONA,WHAT IS THE TOTAL NOUN# SPENT ON NON NOUN# FOR THIS NOUN# ,SELECT SUM(ACTIVE_TIME) AS TOTAL_TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE = 0 AND PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE TIME SPENT IN NON PROCESS APPLICATIONS PER DAY FOR THIS LES PERSONA,WHAT IS THE AVERAGE TIME SPENT IN NON NOUN# PER NOUN# FOR THIS LES PERSONA ,SELECT SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_TIME_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE=0 AND PERSONA_NAME='LES' AND EVENT_DATE>='2023-04-01' AND EVENT_DATE<='2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE TIME SPENT IN NON PROCESS APPLICATIONS PER DAY FOR THIS CES PERSONA,WHAT IS THE AVERAGE TIME SPENT IN NON NOUN# PER NOUN# FOR THIS NOUN# ,SELECT SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_TIME_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE = 0 AND PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE TIME SPENT IN NON PROCESS APPLICATIONS PER DAY FOR THIS TEST PERSONA,WHAT IS THE AVERAGE TIME SPENT IN NON NOUN# PER NOUN# FOR THIS NOUN# ,SELECT SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_TIME_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE = 0 AND PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE TIME SPENT IN PROCESS APPLICATIONS PER DAY FOR THIS LES PERSONA,WHAT IS THE AVERAGE TIME SPENT IN NOUN# PER NOUN# FOR THIS LES PERSONA ,SELECT SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_TIME_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE!=0 AND PERSONA_NAME='LES' AND EVENT_DATE>='2023-04-01' AND EVENT_DATE<='2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE TIME SPENT IN PROCESS APPLICATIONS PER DAY FOR THIS CES PERSONA,WHAT IS THE AVERAGE TIME SPENT IN NOUN# PER NOUN# FOR THIS NOUN# ,SELECT SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_TIME_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE != 0 AND PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE TIME SPENT IN PROCESS APPLICATIONS PER DAY FOR THIS TEST PERSONA,WHAT IS THE AVERAGE TIME SPENT IN NOUN# PER NOUN# FOR THIS NOUN# ,SELECT SUM(ACTIVE_TIME)/COUNT(DISTINCT EVENT_DATE) AS AVG_TIME_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE!=0 AND PERSONA_NAME='TEST' AND EVENT_DATE>='2023-04-01' AND EVENT_DATE<='2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE TOTAL CASES IN THIS LES PERSONA,WHAT IS THE TOTAL NOUN# IN THIS LES PERSONA ,SELECT COUNT(DISTINCT CASE_ID_VALUE) AS TOTAL_CASES FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE TOTAL CASES IN THIS CES PERSONA,WHAT IS THE TOTAL NOUN# IN THIS NOUN# ,SELECT COUNT(DISTINCT CASE_ID_VALUE) AS TOTAL_CASES FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE TOTAL CASES IN THIS TEST PERSONA,WHAT IS THE TOTAL NOUN# IN THIS NOUN# ,SELECT COUNT(DISTINCT CASE_ID_VALUE) AS TOTAL_CASES FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE CASE EFFORT OF THIS LES PERSONA,WHAT IS THE AVERAGE CASE EFFORT OF THIS LES PERSONA ,SELECT SUM(TAT_EVENT)/COUNT(DISTINCT CASE_ID_VALUE) AS AVG_CASE_EFFORT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE CASE EFFORT OF THIS CES PERSONA,WHAT IS THE AVERAGE CASE EFFORT OF THIS NOUN# ,SELECT SUM(TAT_EVENT)/COUNT(DISTINCT CASE_ID_VALUE) AS CASE_EFFORT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE CASE EFFORT OF THIS TEST PERSONA,WHAT IS THE AVERAGE CASE EFFORT OF THIS NOUN# ,SELECT SUM(TAT_EVENT)/COUNT(DISTINCT CASE_ID_VALUE) AS CASE_EFFORT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHICH IS THE MOST COMMON ACTIVITY IN THIS LES PERSONA,WHICH IS THE MOST COMMON NOUN# IN THIS LES PERSONA ,"SELECT ACTIVITY_ID, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ID ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH IS THE MOST COMMON ACTIVITY IN THIS CES PERSONA,WHICH IS THE MOST COMMON NOUN# IN THIS NOUN# ,"SELECT ACTIVITY_ID, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ID ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH IS THE MOST COMMON ACTIVITY IN THIS TEST PERSONA,WHICH IS THE MOST COMMON NOUN# IN THIS NOUN# ,"SELECT ACTIVITY_ID, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ID ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHAT IS THE AVERAGE CASES PER DAY WORKED ON IN THIS LES PERSONA,WHAT IS THE AVERAGE NOUN# PER NOUN# ON IN THIS LES PERSONA ,SELECT COUNT(DISTINCT CASE_ID_VALUE)/COUNT(DISTINCT EVENT_DATE) AS AVG_CASES_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE CASES PER DAY WORKED ON IN THIS CES PERSONA,WHAT IS THE AVERAGE NOUN# PER NOUN# ON IN THIS NOUN# ,SELECT COUNT(DISTINCT CASE_ID_VALUE)/COUNT(DISTINCT EVENT_DATE) AS AVG_CASES_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE CASES PER DAY WORKED ON IN THIS TEST PERSONA,WHAT IS THE AVERAGE NOUN# PER NOUN# ON IN THIS NOUN# ,SELECT COUNT(DISTINCT CASE_ID_VALUE)/COUNT(DISTINCT EVENT_DATE) AS AVG_CASES_PER_DAY FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHICH IS THE MOST COMMON ACTIVITY ABSTRACTION IN THIS LES PERSONA,WHICH IS THE MOST COMMON NOUN# IN THIS LES PERSONA ,"SELECT ACTIVITY_ABSTRACTION_LEVEL_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ABSTRACTION_LEVEL_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH IS THE MOST COMMON ACTIVITY ABSTRACTION IN THIS CES PERSONA,WHICH IS THE MOST COMMON NOUN# IN THIS NOUN# ,"SELECT ACTIVITY_ABSTRACTION_LEVEL_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ABSTRACTION_LEVEL_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHICH IS THE MOST COMMON ACTIVITY ABSTRACTION IN THIS TEST PERSONA,WHICH IS THE MOST COMMON NOUN# IN THIS NOUN# ,"SELECT ACTIVITY_ABSTRACTION_LEVEL_NAME, COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' GROUP BY ACTIVITY_ABSTRACTION_LEVEL_NAME ORDER BY COUNT DESC LIMIT 1",no,no,,,no
WHAT IS THE AVERAGE CASES SWITCH FOR LES PERSONA,WHAT IS THE AVERAGE NOUN# SWITCH FOR LES PERSONA ,SELECT SUM(CAST(CASE_SWITCH AS INT))/COUNT(DISTINCT EVENT_DATE) AS AVG_CASE_SWITCH FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE CASES SWITCH FOR CES PERSONA,WHAT IS THE AVERAGE NOUN# SWITCH FOR NOUN# ,SELECT SUM(CAST(CASE_SWITCH AS INT))/COUNT(DISTINCT EVENT_DATE) AS AVG_CASE_SWITCH FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
WHAT IS THE AVERAGE CASES SWITCH FOR TEST PERSONA,WHAT IS THE AVERAGE NOUN# SWITCH FOR NOUN# ,SELECT SUM(CAST(CASE_SWITCH AS INT))/COUNT(DISTINCT EVENT_DATE) AS AVG_CASE_SWITCH FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1,no,no,,,no
IS THERE ANY MAINFRAME APPLICATION IN THIS LES PERSONA,IS THERE ANY NOUN# IN THIS LES PERSONA ,"SELECT COUNT(*) FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE IN (10, 11) AND PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1",no,no,,,no
IS THERE ANY MAINFRAME APPLICATION IN THIS CES PERSONA,IS THERE ANY NOUN# IN THIS NOUN# ,"SELECT COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE IN (10,11) AND PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1",no,no,,,no
IS THERE ANY MAINFRAME APPLICATION IN THIS TEST PERSONA,IS THERE ANY NOUN# IN THIS NOUN# ,"SELECT COUNT(*) AS COUNT FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE AGENT_TYPE IN (10, 11) AND PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <= '2023-04-30' LIMIT 1",no,no,,,no
WHEN IS FIRST  EVENT FOR THE DAY FOR THIS LES PERSONA,WHEN IS FIRST NOUN# FOR THE NOUN# FOR THIS LES PERSONA ,"SELECT TIME AS FIRST_EVENT_TIME,COUNT(DATE) AS CNT FROM(SELECT EVENT_DATE AS DATE,MIN(SUBSTRING(EVENT_TIME,12,8)) AS TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <='2023-04-30' GROUP BY DATE ORDER BY TIME) GROUP BY FIRST_EVENT_TIME ORDER BY CNT DESC LIMIT 1",no,no,,,no
WHEN IS FIRST  EVENT FOR THE DAY FOR THIS CES PERSONA,WHEN IS FIRST NOUN# FOR THE NOUN# FOR THIS NOUN# ,"SELECT TIME AS FIRST_EVENT_TIME,COUNT(DATE) AS CNT FROM(SELECT EVENT_DATE AS DATE,MIN(SUBSTRING(EVENT_TIME,12,8)) AS TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <='2023-04-30' GROUP BY DATE ORDER BY TIME) GROUP BY TM ORDER BY CNT DESC LIMIT 1",no,no,,,no
WHEN IS FIRST  EVENT FOR THE DAY FOR THIS TEST PERSONA,WHEN IS FIRST NOUN# FOR THE NOUN# FOR THIS NOUN# ,"SELECT TIME AS FIRST_EVENT_TIME,COUNT(DATE) AS CNT FROM(SELECT EVENT_DATE AS DATE,MIN(SUBSTRING(EVENT_TIME,12,8)) AS TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'TEST' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <='2023-04-30' GROUP BY DATE ORDER BY TIME) GROUP BY FIRST_EVENT_TIME ORDER BY CNT DESC LIMIT 1",no,no,,,no
WHEN IS LAST  EVENT FOR THE DAY FOR THIS LES PERSONA,WHEN IS LAST NOUN# FOR THE NOUN# FOR THIS LES PERSONA ,"SELECT TIME AS LAST_EVENT_TIME,COUNT(DATE) AS CNT FROM(SELECT EVENT_DATE AS DATE,MAX(SUBSTRING(EVENT_TIME,12,8)) AS TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'LES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <='2023-04-30' GROUP BY DATE ORDER BY TIME) GROUP BY LAST_EVENT_TIME ORDER BY CNT DESC LIMIT 1",no,no,,,no
WHEN IS LAST  EVENT FOR THE DAY FOR THIS CES PERSONA,WHEN IS LAST NOUN# FOR THE NOUN# FOR THIS NOUN# ,"SELECT TIME AS LAST_EVENT_TIME,COUNT(DATE) AS CNT FROM(SELECT EVENT_DATE AS DATE,MAX(SUBSTRING(EVENT_TIME,12,8)) AS TIME FROM UNUM_ASKSKAN.EVENTS_DELTA_TB WHERE PERSONA_NAME = 'CES' AND EVENT_DATE >= '2023-04-01' AND EVENT_DATE <='2023-04-30' GROUP BY DATE ORDER BY TIME) GROUP BY LAST_EVENT_TIME ORDER BY CNT DESC LIMIT 1",no,no,,,no
