#,Question,correct_query,generated_query,temp_0.2,temp_0.4,temp_0.6
56,Which persona has the highest total wait time?,"SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time DESC LIMIT 1","SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time DESC LIMIT 1 ""","SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time DESC LIMIT 1 ""","SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time DESC LIMIT 1 ""","SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time DESC LIMIT 1 """
57,Which persona has the least total wait time?,"SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_id ORDER BY total_wait_time ASC LIMIT 1","SELECT persona_id, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_id ORDER BY total_wait_time ASC LIMIT 1 ""","SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time ASC LIMIT 1 ""","SELECT persona_id, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_id ORDER BY total_wait_time ASC LIMIT 1 ""","SELECT persona_id, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_id ORDER BY total_wait_time ASC LIMIT 1 """
58,Which persona has the highest count of application switch ?,"SELECT persona_name, SUM(CAST(app_switch AS INT)) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 """
59,Which persona has the least count of application switch ?,"SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = 'TRUE' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1 """
60,Which is the most common activity abstraction?,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1 """
61,Which is the most common activity abstraction in a <specific persona>?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
62,Which is the least common activity abstraction?,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count LIMIT 1 """
63,Which is the most common sequence of 4 activitie abstraction?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
64,Which is the activity abstraction with most events ?,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) as event_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY event_count DESC LIMIT 1 """
65,Which is the activity abstraction with least events ?,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count LIMIT 1","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND activity_abstraction_level_name IS NOT NULL AND activity_abstraction_level_name != '' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1 ""","SELECT activity_abstraction_level_name, COUNT(*) as count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1 """
66,Which persona has the highest count of case switch ?,"SELECT persona_name, SUM(CAST(case_switch AS INT)) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE case_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE case_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS case_switch_count FROM unum_askskan.events_delta_tb WHERE case_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY case_switch_count DESC LIMIT 1 ""","SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE case_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1 """
67,Which particiant has the highest count of case switch ?,"SELECT participant_name, SUM(CAST(case_switch AS INT)) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE case_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1 ""","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE case_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1 ""","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE case_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1 ""","SELECT participant_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE case_switch = TRUE AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1 """
68,What is the average case switch for  a <specific persona>? ,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
69,which application has the highest count of unique titles ?,"SELECT app_name, COUNT(DISTINCT title) AS count FROM unum_askskan.events_delta_tb WHERE app_name IS NOT NULL AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1","SELECT app_name, COUNT(DISTINCT title) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY app_name ORDER BY count DESC LIMIT 1 ""","SELECT app_name, COUNT(DISTINCT title) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY app_name ORDER BY count DESC LIMIT 1 ""","SELECT app_name, COUNT(DISTINCT title) AS unique_titles_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY app_name ORDER BY unique_titles_count DESC LIMIT 1 ""","SELECT app_name, COUNT(DISTINCT title) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type != 0 GROUP BY app_name ORDER BY count DESC LIMIT 1 """
70,Which application has the most key press ?,"SELECT app_name, SUM(number_key_count + navigation_key_count + alpha_key_count) AS key_press_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY key_press_count DESC LIMIT 1","SELECT app_name, SUM(number_key_count) AS total_key_press FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY total_key_press DESC LIMIT 1 ""","SELECT app_name, SUM(number_key_count) AS total_key_press FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY total_key_press DESC LIMIT 1 ""","SELECT app_name, SUM(number_key_count) AS key_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY key_count DESC LIMIT 1 ""","SELECT app_name, SUM(number_key_count) AS total_key_press FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY total_key_press DESC LIMIT 1 """
71,Which application has the most mouse clicks ?,"SELECT app_name, SUM(mouse_count) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1","SELECT app_name, SUM(mouse_count) AS total_mouse_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY total_mouse_count DESC LIMIT 1 ""","SELECT app_name, SUM(mouse_count) AS total_mouse_clicks FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY total_mouse_clicks DESC LIMIT 1 ""","SELECT app_name, SUM(mouse_count) AS total_mouse_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY total_mouse_count DESC LIMIT 1 ""","SELECT app_name, SUM(mouse_count) AS total_mouse_clicks FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY total_mouse_clicks DESC LIMIT 1 """
72,Which participant has the highest total average daily utilization?,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 """
73,Which participant has the lowset total average daily utilization?,"SELECT participant_name, SUM(active_time)/(COUNT(DISTINCT event_date)) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization ASC LIMIT 1","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_active_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_active_time ASC LIMIT 1 """
74,Which participant has the highest average daily utilization in process applications?,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 """
75,Which participant has the highest average daily utilization in non process applications?,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type=0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type IN (2,3,4,5,6,7,8) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type IN (2,3,4,5,6,7,8,9) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type IN (2,3,4,5,6,7,8) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization DESC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_active_time FROM unum_askskan.events_delta_tb WHERE agent_type IN (2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 100) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_active_time DESC LIMIT 1 """
76,"What is the average daily utilization in process applications, across all participants?",SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"SELECT AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) as daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY event_date """
77,"What is the average daily utilization in nonprocess applications, across all participants?",SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"SELECT AVG(active_time) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type IN (0, 2, 9, 10, 11) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type IN (0,2,9,10,11) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type IN (0, 2, 9, 10, 11) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type IN (2,3,4,5,6,7,8,9,10,11) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' """
78,Which participant has the least average daily utilization in process applications?,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization LIMIT 1","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization LIMIT 1 """
79,Which participant has the least average daily utilization in non process applications?,"SELECT participant_name, SUM(active_time)/(COUNT(DISTINCT event_date)) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type=0 AND event_date>='2023-04-01' AND event_date<='2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization ASC LIMIT 1","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type IN (2,3,4,5,6,7,8) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND agent_type IN (2,3,4,5,6,7,8) GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 ""","SELECT participant_name, AVG(active_time) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type IN (2,3,4,5,6,7,8) AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_utilization ASC LIMIT 1 """
80,Which are the most used top 3 applications ?,"SELECT app_name, SUM(active_time) as sum_active_time FROM unum_askskan.events_delta_tb WHERE  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY app_name ORDER BY sum_active_time DESC LIMIT 3","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 3 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 3 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 3 ""","SELECT app_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 3 """
81,Which are the applications common across personas ?,"SELECT app_name ,COUNT(DISTINCT persona_name) FROM unum_askskan.events_delta_tb WHERE app_name IS NOT NULL AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY COUNT(DISTINCT persona_name) DESC LIMIT 10","SELECT DISTINCT app_name FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT DISTINCT app_name FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT DISTINCT app_name FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' ""","SELECT DISTINCT app_name FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' """
82,Which are most sequence of applications used ?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
83,Which is most common browser used ?,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
