#,Scope,Type,Question,deprecated,Single Interpretation,correct_query,lamini_answers,Comments,"final result - (correct_query,lamini_answers)","Reason - (correct_query,lamini_answers)"
62,activity abstraction,Descriptive,Which is the least common activity abstraction?,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1","""SELECT activity_abstraction_level_name, COUNT(*) as count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY activity_abstraction_level_name   ORDER BY count   LIMIT 1  """,,not_evaluated,not_evaluated
63,activity abstraction,Descriptive,Which is the most common sequence of 4 activitie abstraction?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
64,activity abstraction,Analytical,Which is the activity abstraction with most events ?,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1","""SELECT activity_abstraction_level_name, COUNT(*) as event_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY activity_abstraction_level_name   ORDER BY event_count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
65,activity abstraction,Analytical,Which is the activity abstraction with least events ?,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count LIMIT 1","""SELECT activity_abstraction_level_name, COUNT(*) as event_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY activity_abstraction_level_name   ORDER BY event_count ASC   LIMIT 1  """,,not_evaluated,not_evaluated
66,case,Analytical,Which persona has the highest count of case switch ?,no,yes,"SELECT persona_name, SUM(CAST(case_switch AS INT)) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1","""SELECT persona_name, COUNT(case_switch) as case_switch_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04' AND case_switch = 1   GROUP BY persona_name   ORDER BY case_switch_count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
67,case,Analytical,Which particiant has the highest count of case switch ?,no,yes,"SELECT participant_name, SUM(CAST(case_switch AS INT)) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1","""SELECT participant_name, COUNT(case_switch) as case_switch_count   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04' AND case_switch = 1   GROUP BY participant_name   ORDER BY case_switch_count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
68,case,Analytical,What is the average case switch for  a <specific persona>? ,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
69,application,Analytical,which application has the highest count of unique titles ?,no,yes,"SELECT app_name, COUNT(DISTINCT title) AS count FROM unum_askskan.events_delta_tb WHERE app_name IS NOT NULL AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1","""SELECT app_name, COUNT(DISTINCT title) as unique_title_count  FROM events  WHERE strftime('%Y-%m', event_time) = '2023-04'  GROUP BY app_name  ORDER BY unique_title_count DESC  LIMIT 1  """,,not_evaluated,not_evaluated
70,keyboard,Analytical,Which application has the most key press ?,no,yes,"SELECT app_name, SUM(number_key_count + navigation_key_count + alpha_key_count) AS key_press_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY key_press_count DESC LIMIT 1","""SELECT app_name, SUM(alpha_key_count + number_key_count + navigation_key_count) as total_key_press  FROM events  WHERE strftime('%Y-%m', event_time) = '2023-04'  GROUP BY app_name  ORDER BY total_key_press DESC  LIMIT 1  """,,not_evaluated,not_evaluated
71,mouse,Analytical,Which application has the most mouse clicks ?,no,yes,"SELECT app_name, SUM(mouse_count) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1","""SELECT app_name, SUM(mouse_count) as total_mouse_clicks   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY app_name   ORDER BY total_mouse_clicks DESC   LIMIT 1  """,,not_evaluated,not_evaluated
72,participant,Analytical,Which participant has the highest total average daily utilization?,no,yes,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1","""SELECT participant_name, AVG(active_time) as average_daily_utilization   FROM (      SELECT participant_name, SUM(active_time) as active_time, date(event_time) as date       FROM events       WHERE date(event_time) BETWEEN '2023-04-01' AND '2023-04-30'      GROUP BY participant_name, date  )   GROUP BY participant_name   ORDER BY average_daily_utilization DESC   LIMIT 1  """,,not_evaluated,not_evaluated
73,participant,Analytical,Which participant has the lowset total average daily utilization?,no,yes,"SELECT participant_name, SUM(active_time)/(COUNT(DISTINCT event_date)) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization ASC LIMIT 1","""SELECT participant_name, AVG(active_time) as average_daily_utilization   FROM (      SELECT participant_name, SUM(active_time) as active_time, date(event_time) as date       FROM events       WHERE date(event_time) BETWEEN '2023-04-01' AND '2023-04-30'       GROUP BY participant_name, date  )   GROUP BY participant_name   ORDER BY average_daily_utilization ASC   LIMIT 1  """,,not_evaluated,not_evaluated
74,participant,Analytical,Which participant has the highest average daily utilization in process applications?,no,yes,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1","""SELECT participant_name, AVG(active_time) as average_daily_utilization   FROM (      SELECT participant_name, SUM(active_time) as active_time, date(event_time) as date       FROM events       WHERE agent_type > 0 AND date(event_time) BETWEEN '2023-04-01' AND '2023-04-30'       GROUP BY participant_name, date  )   GROUP BY participant_name   ORDER BY average_daily_utilization DESC   LIMIT 1  """,,not_evaluated,not_evaluated
75,participant,Analytical,Which participant has the highest average daily utilization in non process applications?,no,yes,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type=0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1","""select participant_name, avg(active_time) as average_daily_utilization from (select participant_name, sum(active_time) as active_time, date(event_time) as date from events where agent_type = 0 and strftime('%Y-%m', event_time) = '2023-04' group by participant_name, date) group by participant_name order by average_daily_utilization desc LIMIT 1  """,,not_evaluated,not_evaluated
76,utilization,Analytical,"What is the average daily utilization in process applications, across all participants?",no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT AVG(active_time) as average_daily_utilization   FROM (      SELECT SUM(active_time) as active_time, DATE(event_time) as date       FROM events       WHERE agent_type > 0 AND strftime('%Y-%m', event_time) = '2023-04'       GROUP BY date  ) as t1  """,,not_evaluated,not_evaluated
77,utilization,Analytical,"What is the average daily utilization in nonprocess applications, across all participants?",no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT AVG(active_time) as average_daily_utilization FROM (SELECT SUM(active_time) as active_time, date(event_time) as date FROM events WHERE agent_type = 0 AND date(event_time) BETWEEN '2023-04-01' AND '2023-04-30' GROUP BY date) as t1  """,,not_evaluated,not_evaluated
78,utilization,Analytical,Which participant has the least average daily utilization in process applications?,no,yes,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization LIMIT 1","""SELECT participant_name, AVG(active_time) as average_daily_utilization   FROM (      SELECT participant_name, SUM(active_time) as active_time, date(event_time) as date       FROM events       WHERE agent_type > 0 AND date(event_time) BETWEEN '2023-04-01' AND '2023-04-30'       GROUP BY participant_name, date  )   GROUP BY participant_name   ORDER BY average_daily_utilization ASC   LIMIT 1  """,,not_evaluated,not_evaluated
79,utilization,Analytical,Which participant has the least average daily utilization in non process applications?,no,yes,"SELECT participant_name, SUM(active_time)/(COUNT(DISTINCT event_date)) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type=0 AND event_date>='2023-04-01' AND event_date<='2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization ASC LIMIT 1","""SELECT participant_name, AVG(active_time) as average_daily_utilization   FROM (      SELECT participant_name, SUM(active_time) as active_time, date(event_time) as date       FROM events       WHERE agent_type = 0 AND date(event_time) BETWEEN '2023-04-01' AND '2023-04-30'       GROUP BY participant_name, date  )   GROUP BY participant_name   ORDER BY average_daily_utilization ASC   LIMIT 1  """,,not_evaluated,not_evaluated
80,application,Descriptive,Which are the most used top 3 applications ?,no,yes,"SELECT app_name, SUM(active_time) as sum_active_time FROM unum_askskan.events_delta_tb WHERE  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY app_name ORDER BY sum_active_time DESC LIMIT 3","""SELECT app_name, SUM(active_time) as sum_active_time   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY app_name   ORDER BY sum_active_time DESC   LIMIT 3  """,,not_evaluated,not_evaluated
81,application,Analytical,Which are the applications common across personas ?,no,no,"SELECT app_name ,COUNT(DISTINCT persona_name)FROM unum_askskan.events_delta_tb WHERE app_name IS NOT NULL AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY COUNT(DISTINCT persona_name) DESC LIMIT 10","""SELECT app_name   FROM events   WHERE strftime('%Y-%m', event_time) = '2023-04'   GROUP BY app_name   HAVING COUNT(DISTINCT persona_name) > 1   LIMIT 1  """,,not_evaluated,not_evaluated
82,application,Analytical,Which are most sequence of applications used ?,yes,no,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
83,application,Analytical,Which is most common browser used ?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
84,application,Analytical,Which is most used desktop application  ?,no,yes,"SELECT app_name, SUM(active_time) as sum_active_time FROM unum_askskan.events_delta_tb WHERE agent_type = 2 AND  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY app_name ORDER BY sum_active_time DESC LIMIT 1","""SELECT app_name, SUM(active_time) as sum_active_time   FROM events   WHERE agent_type = 2 AND strftime('%Y-%m', event_time) = '2023-04'   GROUP BY app_name   ORDER BY sum_active_time DESC   LIMIT 1  """,,not_evaluated,not_evaluated
85,application,Analytical,Is there any mainframe application in this <specific persona>  ?,yes,no,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
86,event,Analytical,When is first  event for the day for a <specific persona>  ?,yes,no,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
87,event,Analytical,When is last  event for the day for a <specific persona>  ?,yes,no,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
88,participant,Analytical,Which pariticpant has worked most days in this month ?,no,yes,"SELECT participant_name, COUNT(DISTINCT event_date) AS work_days FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY work_days DESC LIMIT 1","""SELECT participant_name, COUNT(DISTINCT event_date) as working_days  FROM events  WHERE event_time BETWEEN '2023-04-01' AND '2023-04-30'  GROUP BY participant_name  ORDER BY working_days DESC  LIMIT 1  """,,not_evaluated,not_evaluated
89,participant,Descriptive,Which pariticpant was on leave most days in this month ?,no,yes,"SELECT participant_name, COUNT(DISTINCT event_date) AS leave_days FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01'             AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY leave_days ASC LIMIT 1","""SELECT participant_name, COUNT(DISTINCT event_date) as days_on_leave  FROM events  WHERE active_time = 0 AND event_date BETWEEN '2023-04-01' AND '2023-04-30'  GROUP BY participant_name  ORDER BY days_on_leave DESC  LIMIT 1  """,Wrong lamini query,not_evaluated,not_evaluated
90,case,Insightful,How many cases are we likely to close this week in a <specific persona>  ?,yes,no,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
91,participant,Insightful,Which participant will work on the highest count of case this week for a <specific persona> ?,yes,no,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
92,application,Insightful,Which will be the most used application next month ?,yes,no,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
93,application,Analytical,How many users use this <specific application> ?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
94,user,Analytical,what is the average count of users on leave in a <specific persona>,yes,no,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
95,participant,Descriptive,Which hour of the day is this <specific participant> most productive ?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
96,participant,Descriptive,Which hour of the day is this <specific participant> least productive ?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
97,participant,Descriptive,Which day of the week is this <specific participant> least productive ?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
98,participant,Descriptive,Which day of the week is this <specific participant> most productive ?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
99,participant,Descriptive,which are the participants who work on multiple persona?,no,no,SELECT participant_name FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30'             GROUP BY participant_name HAVING COUNT(DISTINCT persona_name) > 1 LIMIT 10,"""SELECT participant_name, COUNT(DISTINCT persona_id) as num_personas  FROM events  WHERE strftime('%Y-%m', event_time) = '2023-04'  GROUP BY participant_name  HAVING num_personas > 1  ORDER BY num_personas DESC  LIMIT 1  """,,not_evaluated,not_evaluated
100,activities,Analytical,Which application has most activities named by a Human in the loop ?,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
1000,event,Analytical,which hour of the day has the highest events for this LES persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count DESC LIMIT 1","""SELECT strftime('%H', event_time) as hour, count(event_id) as event_count  FROM events  WHERE persona_name = 'LES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY hour  ORDER BY event_count DESC  LIMIT 1  """,,not_evaluated,not_evaluated
1001,event,Analytical,which hour of the day has the highest events for this CES persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY SUBSTRING(event_time, 12, 2) ORDER BY count DESC LIMIT 1","""SELECT strftime('%H', event_time) as hour, count(event_id) as event_count  FROM events  WHERE persona_name = 'CES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY hour  ORDER BY event_count DESC  LIMIT 1  """,,not_evaluated,not_evaluated
1002,event,Analytical,which hour of the day has the highest events for this Do Not Use persona,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
1003,event,Analytical,which hour of the day has the highest events for this TEST persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) as hour, COUNT(*) as count FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND             event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count DESC LIMIT 1","""SELECT strftime('%H', event_time) as hour, count(event_id) as event_count  FROM events  WHERE persona_name = 'TEST' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY hour  ORDER BY event_count DESC  LIMIT 1  """,,not_evaluated,not_evaluated
1004,event,Analytical,which hour of the day has the least events for this LES persona,no,yes,"SELECT SUBSTRING(event_time,12,2) as hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count LIMIT 1","""SELECT strftime('%H', event_time) as hour, COUNT(event_id) as event_count  FROM events  WHERE persona_name = 'LES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY hour  ORDER BY event_count ASC  LIMIT 1  """,,not_evaluated,not_evaluated
1005,event,Analytical,which hour of the day has the least events for this CES persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count ASC LIMIT 1","""SELECT strftime('%H', event_time) as hour, COUNT(event_id) as event_count  FROM events  WHERE persona_name = 'CES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY hour  ORDER BY event_count ASC  LIMIT 1  """,,not_evaluated,not_evaluated
1006,event,Analytical,which hour of the day has the least events for this Do Not Use persona,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
1007,event,Analytical,which hour of the day has the least events for this TEST persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND persona_name = 'TEST' GROUP BY hour ORDER BY count ASC LIMIT 1","""SELECT STRFTIME('%H', event_time) AS hour, COUNT(*) AS event_count  FROM events  WHERE persona_name = 'TEST' AND STRFTIME('%Y-%m', event_time) = '2023-04'  GROUP BY hour  ORDER BY event_count ASC  LIMIT 1  """,,not_evaluated,not_evaluated
1008,event,Analytical,which day of the week has the highest events  for this LES persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1","""SELECT strftime('%w', event_time) as day_of_week, COUNT(*) as event_count   FROM events   WHERE persona_name = 'LES' AND strftime('%Y-%m', event_time) = '2023-04'   GROUP BY day_of_week   ORDER BY event_count DESC   LIMIT 1  """,,not_evaluated,not_evaluated
1009,event,Analytical,which day of the week has the highest events  for this CES persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1","""SELECT strftime('%w', event_time) as day_of_week, COUNT(*) as event_count  FROM events  WHERE persona_name = 'CES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY day_of_week  ORDER BY event_count DESC  LIMIT 1  """,,not_evaluated,not_evaluated
1010,event,Analytical,which day of the week has the highest events  for this Do Not Use persona,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
1011,event,Analytical,which day of the week has the highest events  for this TEST persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1","""SELECT strftime('%w', event_time) as day_of_week, COUNT(*) as event_count  FROM events  WHERE persona_name = 'TEST' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY day_of_week  ORDER BY event_count DESC  LIMIT 1  """,,not_evaluated,not_evaluated
1012,event,Analytical,which day of the week has the least events  for this LES persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1","""SELECT strftime('%w', event_time) as day_of_week, COUNT(*) as event_count  FROM events  WHERE persona_name = 'LES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY day_of_week  ORDER BY event_count ASC  LIMIT 1  """,,not_evaluated,not_evaluated
1013,event,Analytical,which day of the week has the least events  for this CES persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1","""SELECT strftime('%w', event_time) as day_of_week, COUNT(*) as event_count  FROM events  WHERE persona_name = 'CES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY day_of_week  ORDER BY event_count ASC  LIMIT 1  """,,not_evaluated,not_evaluated
1014,event,Analytical,which day of the week has the least events  for this Do Not Use persona,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
1015,event,Analytical,which day of the week has the least events  for this TEST persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1","""SELECT strftime('%w', event_time) as day_of_week, COUNT(*) as event_count  FROM events  WHERE persona_name = 'TEST' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY day_of_week  ORDER BY event_count ASC  LIMIT 1  """,,not_evaluated,not_evaluated
1016,event,Analytical,what is the average numbers of events in a day for this LES persona,no,yes,SELECT COUNT(event_id)/COUNT(DISTINCT event_date) AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT AVG(event_count) as average_event_count_per_day  FROM (      SELECT COUNT(event_id) as event_count, DATE(event_time) as date      FROM events      WHERE persona_name = 'LES' AND strftime('%Y-%m', event_time) = '2023-04'      GROUP BY date  ) as t1  """,,not_evaluated,not_evaluated
1017,event,Analytical,what is the average numbers of events in a day for this CES persona,no,yes,SELECT COUNT(event_id)/COUNT(DISTINCT event_date) AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT AVG(event_count) as average_event_count_per_day  FROM (      SELECT COUNT(event_id) as event_count, DATE(event_time) as date      FROM events      WHERE persona_name = 'CES' AND strftime('%Y-%m', event_time) = '2023-04'      GROUP BY date  ) as t1  """,,not_evaluated,not_evaluated
1018,event,Analytical,what is the average numbers of events in a day for this Do Not Use persona,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
1019,event,Analytical,what is the average numbers of events in a day for this TEST persona,no,yes,SELECT COUNT(event_id)/COUNT(DISTINCT event_date) AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT AVG(event_count) as average_event_count_per_day  FROM (      SELECT COUNT(event_id) as event_count, DATE(event_time) as date      FROM events      WHERE persona_name = 'TEST' AND strftime('%Y-%m', event_time) = '2023-04'      GROUP BY date  ) as t1  """,,not_evaluated,not_evaluated
1020,application,Analytical,What is the total time spent on process applications for this LES persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT persona_name, SUM(active_time) as total_time_spent_on_process_applications  FROM events  WHERE agent_type > 0 AND persona_name = 'LES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY persona_name  """,,not_evaluated,not_evaluated
1021,application,Analytical,What is the total time spent on process applications for this CES persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT persona_name, SUM(active_time) as total_time_spent_on_process_applications  FROM events  WHERE agent_type > 0 AND persona_name = 'CES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY persona_name  """,,not_evaluated,not_evaluated
1022,application,Analytical,What is the total time spent on process applications for this Do Not Use persona,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
1023,application,Analytical,What is the total time spent on process applications for this TEST persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT persona_name, SUM(active_time) as total_time_spent_on_process_applications  FROM events  WHERE persona_name = 'TEST' AND agent_type > 0 AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY persona_name  """,,not_evaluated,not_evaluated
1024,application,Analytical,What is the total time spent on non process applications for this LES persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT persona_name, SUM(active_time) as total_time_spent  FROM events  WHERE agent_type = 0 AND persona_name = 'LES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY persona_name  """,,not_evaluated,not_evaluated
1025,application,Analytical,What is the total time spent on non process applications for this CES persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT persona_name, SUM(active_time) as total_time_spent  FROM events  WHERE agent_type = 0 AND persona_name = 'CES' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY persona_name  """,,not_evaluated,not_evaluated
1026,application,Analytical,What is the total time spent on non process applications for this Do Not Use persona,yes,yes,not_evaluated,not_evaluated,,not_evaluated,not_evaluated
1027,application,Analytical,What is the total time spent on non process applications for this TEST persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1,"""SELECT persona_name, SUM(active_time) as total_time_spent  FROM events  WHERE agent_type = 0 AND persona_name = 'TEST' AND strftime('%Y-%m', event_time) = '2023-04'  GROUP BY persona_name  """,,not_evaluated,not_evaluated
1028,application,Analytical,What is the average time spent in non process applications per day for this LES persona,no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_time_per_day FROM unum_askskan.events_delta_tb WHERE agent_type=0 AND persona_name='LES' AND event_date>='2023-04-01' AND event_date<='2023-04-30' LIMIT 1,"""select avg(active_time) as average_time_spent from (select sum(active_time) as active_time, date(event_time) as date from events where agent_type = 0 and persona_name = 'LES' and strftime('%Y-%m', event_time) = '2023-04' group by date) as t1  """,,not_evaluated,not_evaluated
